Tech Venture,11.86,23.04,10,18,25,1200,1.25,68,400,425,495,85,0.45,0.056,7.5,18757
MIX,9.8,26,10,18,30,600,1.21,82,410,420,500,80,0.48,0.088,6.5,16700
Tehmoor,8.5,28,10,19,25,2000,1.1,80,400,450,485,85,0.48,0.06,7,16900
PET COKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
Goonyella,9,24.5,10,20,28,1100,1.17,70,410,460,500,90,0.53,0.025,8,19000
Wentz,9.25,19.5,9,-26,14,510,1.5,93,415,430,485,65,1.05,0.035,5,16209
Anthracite,5,17,9,0,0,0,0,0,0,0,0,0,0.33,0.02,0,10640
Tech Standard,8.7,33.8,8,27,32,3000,0.93,96,380,470,495,80,0.66,0.03,8,16209
GJ,10.5,19.5,8,0,0,0,1.23,51,0,0,0,0,0.45,0.07,1,12000
Cavel Ritz,9.1,22.5,9,35,20,0,0,0,470,410,495,80,0.4,0.08,6,17500
Sonoma,9.8,24,10,19,25,2000,1.1,80,400,450,485,85,0.48,0.06,7,17500
Bhelatand (HCC)-Captive,18.25,21,10,21,25,950,1.2,85,445,480,505,60,0.6,0.065,7,12000
West Bokaro (Semi Hard)- Captive,18.5,25.5,10,26,28,3750,1,65,435,470,505,70,0.65,0.07,3,5200
Illawara,11.86,23.04,10,18,25,1200,1.25,68,400,425,495,85,0.45,0.056,7.5,20160
Goonyella,9,24.5,10,20,28,1100,1.17,70,410,460,500,90,0.53,0.025,8,20160
Tech Premium,8.97,24.8,9.3,21,30,315,1.15,82,395,450,495,75,0.48,0.088,7.5,20160
Moranbah N,8.5,24.5,10,20,31,1500,1.15,75,405,455,495,90,0.5,0.04,8,20160
Sonama,9.8,28,10,19,25,2000,1.1,80,400,450,485,85,0.48,0.06,7,17000
Bedford,9.5,27.5,9,25,29,3000,0.95,65,395,450,485,90,0.66,0.08,7,17000
Poetrel,8.1,24.4,9,20,30,300,1.15,78,420,455,485,65,0.44,0.061,7,13440
Kestrel,8.7,33.8,8,27,32,3000,0.93,96,380,470,495,80,0.66,0.03,8,14200
Curragh SS,8.5,19.5,9.5,28,35,10,1.38,82,440,450,490,50,0.45,0.045,5.5,13440
Blue Creek,8.9,20.5,9,-22,14,1050,1.51,93,427,469,503,34,0.68,0.45,9,13440
Emereld,7.4,23.7,10.6,18,28,440,1.21,85,420,437,485,65,0.38,0.087,7.5,15000
PCI(Jelinbah Non coking coal),10.5,19.5,8,0,0,0,1.23,51,0,0,0,0,0.45,0.07,1,9240
Aus Hard (Reverside),8.5,24.5,10,0,0,1500,1.15,94,330,0,475,145,0.5,0,8,20100
US-Hard (MV),9,25.49,9,0,0,4800,1.18,91,405,0,495,90,0.67,0,8.5,19429
Benga,10.5,23.1,10,0,0,3000,1.37,96,400,0,460,60,0.83,0,0,19900
LVHR (Anthracite),8.84,2.52,10,0,0,0,0,7.8,0,0,0,0,0,0,0,19363
Aus Soft,8.3,24,9,0,0,220,1.12,83,420,0,485,0,0.43,0.07,7,14900
Russian Soft,10.5,23.5,10,0,0,25,1.16,80,435,0,505,0,0.55,0.06,5.8,15664
PCC,16,21,9,0,0,700,1.2,85,445,0,500,0,0.6,0,7.5,13810
MCC,15,24,9,0,0,3000,0.95,65,430,0,500,0,0.6,0,6,12800
